repo_id,robot_type,total_episodes,total_frames,camera_keys
lerobot/ucsd_kitchen_dataset,unknown,150,3970,observation.images.image
lerobot/austin_buds_dataset,unknown,50,34112,"observation.images.image,observation.images.wrist_image"
lerobot/dlr_sara_grid_clamp,unknown,107,7622,observation.images.image
lerobot/dlr_sara_pour,unknown,100,12971,observation.images.image
lerobot/dlr_edan_shared_control,unknown,104,8928,observation.images.image
lerobot/ucsd_pick_and_place_dataset,unknown,1355,67750,observation.images.image
lerobot/nyu_franka_play_dataset,unknown,456,44875,"observation.images.image_additional_view,observation.images.image"
lerobot/utokyo_saytap,unknown,20,22937,"observation.images.wrist_image,observation.images.image"
lerobot/imperialcollege_sawyer_wrist_cam,unknown,170,7148,"observation.images.image,observation.images.wrist_image"
lerobot/utokyo_xarm_bimanual,unknown,70,1514,observation.images.image
lerobot/cmu_franka_exploration_dataset,unknown,199,1990,"observation.images.image,observation.images.highres_image"
lerobot/utokyo_xarm_pick_and_place,unknown,102,7490,"observation.images.hand_image,observation.images.image2,observation.images.image"
lerobot/columbia_cairlab_pusht_real,unknown,136,27808,"observation.images.wrist_image,observation.images.image"
lerobot/berkeley_cable_routing,unknown,1647,42328,"observation.images.top_image,observation.images.wrist225_image,observation.images.wrist45_image,observation.images.image"
lerobot/conq_hose_manipulation,unknown,139,8277,"observation.images.frontright_fisheye_image,observation.images.hand_color_image,observation.images.frontleft_fisheye_image"
lerobot/berkeley_gnm_sac_son,unknown,2955,241059,observation.images.image
lerobot/cmu_play_fusion,unknown,576,235922,observation.images.image
lerobot/berkeley_fanuc_manipulation,unknown,415,62613,"observation.images.image,observation.images.wrist_image"
lerobot/jaco_play,unknown,1085,77965,"observation.images.image,observation.images.image_wrist"
lerobot/kaist_nonprehensile,unknown,201,32429,observation.images.image
lerobot/berkeley_gnm_recon,unknown,11834,610907,observation.images.image
lerobot/austin_sirius_dataset,unknown,559,279939,"observation.images.image,observation.images.wrist_image"
lerobot/austin_sailor_dataset,unknown,240,353094,"observation.images.wrist_image,observation.images.image"
lerobot/berkeley_autolab_ur5,unknown,1000,97939,"observation.images.image_with_depth,observation.images.image,observation.images.hand_image"
lerobot/utaustin_mutex,unknown,1500,361883,"observation.images.image,observation.images.wrist_image"
lerobot/stanford_hydra_dataset,unknown,570,358234,"observation.images.image,observation.images.wrist_image"
lerobot/berkeley_mvp,unknown,480,45308,observation.images.hand_image
lerobot/stanford_robocook,unknown,2460,112980,"observation.images.image_1,observation.images.image_2,observation.images.image_4,observation.images.image_3"
lerobot/roboturk,unknown,1995,187507,observation.images.front_rgb
lerobot/fmb,unknown,1804,338188,"observation.images.image_side_1,observation.images.image_side_2,observation.images.image_wrist_1,observation.images.image_wrist_2"
lerobot/droid_100,unknown,100,32212,"observation.images.exterior_image_1_left,observation.images.exterior_image_2_left,observation.images.wrist_image_left"
aliberts/koch_tutorial,koch,50,21267,"observation.images.laptop,observation.images.phone"
lerobot/berkeley_rpt,unknown,908,392578,observation.images.hand_image
lerobot/stanford_kuka_multimodal_dataset,unknown,3000,149985,observation.images.image
lerobot/iamlab_cmu_pickup_insert,unknown,631,146241,"observation.images.image,observation.images.wrist_image"
lerobot/taco_play,unknown,3603,237798,"observation.images.rgb_static,observation.images.rgb_gripper"
lerobot/berkeley_gnm_cory_hall,unknown,7331,156012,observation.images.image
lerobot/usc_cloth_sim,unknown,1000,100000,observation.images.image
villekuosmanen/close_shoebox,arx5_bimanual,99,73867,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
villekuosmanen/pass_laser_pointer,arx5_bimanual,50,52591,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
villekuosmanen/pack_shoes,arx5_bimanual,100,128886,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
villekuosmanen/move_glass_cups,arx5_bimanual,30,30602,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
villekuosmanen/pick_up_lid,arx5_bimanual,30,25564,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
han5i5j1986/koch_lego_2024-10-16-01,unknown,50,11636,"observation.images.laptop,observation.images.phone"
HumanoidTeam/robograsp_hackathon_2024,unknown,108,86400,"observation.images.left_wrist,observation.images.right_wrist,observation.images.top"
villekuosmanen/pick_coffee_prop_center_merged,arx5,200,73093,"observation.images.front,observation.images.wrist"
underctrl/single-block_multi-color_pick-up_50,koch,50,27178,"observation.images.phone,observation.images.webcam"
villekuosmanen/rice-cooker_step_0,arx5,100,37863,"observation.images.front,observation.images.wrist"
villekuosmanen/rice-cooker_step_2,arx5,100,40642,"observation.images.front,observation.images.wrist"
villekuosmanen/rice-cooker_step_3,arx5,100,53492,"observation.images.front,observation.images.wrist"
takuzennn/toaster_v2,zenbot,200,60000,"observation.image.camera1,observation.image.camera2,observation.image.camera3"
maximilienroberti/so100_test,unknown,54,16724,"observation.images.cam_left,observation.images.cam_middle,observation.images.cam_right"
underctrl/single-block_blue-color_pick-up_80,koch,80,31991,"observation.images.phone,observation.images.webcam"
underctrl/mutli-stacked-block_mutli-color_pick-up_80,koch,80,52609,"observation.images.phone,observation.images.webcam"
underctrl/single-stacked-block_two-color_pick-up_80,koch,80,31816,"observation.images.phone,observation.images.webcam"
aliberts/reachy_wave_2,reachy2,50,15688,observation.images.head_left
underctrl/single-stacked-block_mutli-color_pick-up_80,koch,80,31442,"observation.images.phone,observation.images.webcam"
apockill/myarm-3-put-cube-in-basket-highres,myarm,54,15414,observation.images.wrist
cadene/so100_5_lego_test,so100,55,45588,"observation.images.laptop,observation.images.phone"
Ofiroz91/so_100_cube2bowl,so100,40,46281,"observation.images.laptop,observation.images.phone"
apockill/myarm-4-put-cube-in-basket-highres-two-camera,myarm,101,22893,"observation.images.wrist,observation.images.top"
underctrl/handcamera_single_blue,koch,80,31478,"observation.images.android,observation.images.webcam,observation.images.handcam"
apockill/myarm-5-put-cube-to-the-side,myarm,52,13157,"observation.images.wrist,observation.images.top"
apockill/myarm-6-put-cube-to-the-side-30fps-lowres,myarm,253,82078,"observation.images.wrist,observation.images.top"
underctrl/handcamera_double_weird,unknown,80,36475,"observation.images.android,observation.images.webcam,observation.images.handcam"
underctrl/handcamera_double-block_2-colors_pick-up_80,unknown,80,40026,"observation.images.android,observation.images.webcam,observation.images.handcam"
francescocrivelli/so100_test,so100,56,38831,"observation.images.endeffector,observation.images.workspace"
underctrl/handcamera_double-block_blue-color_pick-up_80,unknown,80,33117,"observation.images.android,observation.images.webcam,observation.images.handcam"
cmcgartoll/cube_color_organizer,koch,151,68763,"observation.images.claw,observation.images.front,observation.images.phone"
jackvial/koch_with_rewards_4,koch,10,5985,observation.images.main
DUDU9527/so100_test3,so100,10,4272,"observation.images.laptop,observation.images.phone"
underctrl/handcamera_single_orange,unknown,80,20566,"observation.images.android,observation.images.webcam,observation.images.handcam"
underctrl/handcamera_double-block_orange-color,unknown,80,41198,"observation.images.android,observation.images.webcam,observation.images.handcam"
DUDU9527/so100_test6,so100,10,3200,"observation.images.laptop,observation.images.phone"
francescocrivelli/orange_feeding,so100,26,17151,"observation.images.endeffector,observation.images.workspace"
francescocrivelli/carrot_eating,so100,61,38435,"observation.images.endeffector,observation.images.workspace"
DUDU9527/so100_test7,so100,20,11117,"observation.images.laptop,observation.images.phone"
iantc104/rpl_peg_in_hole,,50,12500,"observation.images.scene,observation.images.wrist"
T-K-233/koch_k1_pour_shot,koch_k1,80,44363,"observation.images.gripper,observation.images.top,observation.images.side"
gmm0820/so100_test3,so100,10,7481,"observation.images.laptop,observation.images.phone"
Lugenbott/koch_test,unknown,20,3377,"observation.images.Camera0,observation.images.Camera2"
gmm0820/so100_test4,so100,10,5857,"observation.images.laptop,observation.images.phone"
DUDU9527/so100_test10,so100,10,4460,"observation.images.laptop,observation.images.phone,observation.images.phone1"
gmm0820/so100_test5,so100,50,26120,"observation.images.laptop,observation.images.phone"
0x00raghu/toffee_color_sort_1,so100_bimanual,10,5980,"observation.images.laptop,observation.images.phone"
0x00raghu/toffee_color_sort_2_,so100_bimanual,10,5980,"observation.images.laptop,observation.images.phone"
0x00raghu/toffee_color_sort_3_,so100_bimanual,10,5952,"observation.images.laptop,observation.images.phone"
0x00raghu/toffee_color_sort_4,so100_bimanual,10,5967,"observation.images.laptop,observation.images.phone"
ccop/aloha-hd5-conversion-test,aloha-stationary,51,40800,"observations.images.cam_high,observations.images.cam_left_wrist,observations.images.cam_right_wrist"
0x00raghu/toffee_blue,so100,20,11947,"observation.images.laptop,observation.images.phone"
0x00raghu/toffee_blue_2,so100,20,11944,"observation.images.laptop,observation.images.phone"
jclinton1/wedgit_stack,unknown,50,29612,observation.images.webcam
0x00raghu/toffee_to_hand_1,so100,20,11897,"observation.images.laptop,observation.images.phone"
0x00raghu/toffee_to_hand_2,so100,20,11950,"observation.images.laptop,observation.images.phone"
seeingrain/pick_place_lego,koch,50,23027,"observation.images.laptop,observation.images.phone"
JohannesSaut/koch_training_6,unknown,100,31648,"observation.images.laptop,observation.images.phone"
seeingrain/pick_lego_to_hand,koch,50,21254,"observation.images.laptop,observation.images.phone"
YoelChornton/moss_get_rope_15ep,moss,15,6601,"observation.images.laptop,observation.images.phone"
seeingrain/pick_place_red_lego,koch,50,21915,"observation.images.laptop,observation.images.phone"
Ivan416/koch_test,koch,10,2470,"observation.images.laptop,observation.images.phone"
danmac1/red_ball,unknown,50,28159,"observation.images.laptop,observation.images.phone"
seeingrain/pick_place_pink_lego,koch,50,19352,"observation.images.laptop,observation.images.phone"
seeingrain/pick_place_pink_lego_few_samples,koch,21,8086,"observation.images.laptop,observation.images.phone"
Chojins/so100_test20,so100,20,14399,"observation.images.laptop,observation.images.phone"
seeingrain/one_shot_learning_18episodes,koch,36,15298,"observation.images.laptop,observation.images.phone"
helper2424/hil-serl-push-circle-classifier,koch,20,6747,"observation.images.web0,observation.images.web1"
seeingrain/lego_3cameras,koch,21,10458,"observation.images.top,observation.images.side,observation.images.wrist"
Lugenbott/koch_1225,koch,50,11825,"observation.images.Camera0,observation.images.Camera2"
twerdster/koch_test,koch,12,9692,"observation.images.rightegocam,observation.images.rightstereocam"
jpata/so100_pick_place_tangerine,so100,100,23926,"observation.images.laptop,observation.images.phone"
pranavsaroha/so100_onelego3,so100,40,16316,"observation.images.laptop,observation.images.phone"
ZCM5115/so100_2Arm3cameras_movebox,so100,50,17383,"observation.images.top,observation.images.left,observation.images.right"
twerdster/koch_training_red,koch,30,14524,"observation.images.rightegocam,observation.images.rightstereocam"
yaak-ai/lerobot-driving-school,KIA Niro EV 2023,10,4310,"observation.images.front_left,observation.images.left_forward,observation.images.right_forward,observation.images.left_backward,observation.images.right_backward,observation.images.rear,observation.images.map"
dboemer/koch_50-samples,koch,50,16417,"observation.images.side,observation.images.top"
seeingrain/241228_pick_place_2cams,koch,30,8768,"observation.images.top,observation.images.side"
pranavsaroha/so100_carrot_1,so100,40,17072,"observation.images.laptop,observation.images.phone"
pranavsaroha/so100_carrot_2,so100,63,25234,"observation.images.laptop,observation.images.phone"
zijian2022/so100_test_122803_100_1p2c,so100,100,22778,"observation.images.laptop,observation.images.phone"
pranavsaroha/so100_carrot_3,so100,40,15392,"observation.images.laptop,observation.images.phone"
Eyas/grab_pink_lighter_10_per_loc,koch,50,20055,observation.images.laptop
pranavsaroha/so100_carrot_4,so100,22,8430,"observation.images.laptop,observation.images.phone"
pranavsaroha/so100_carrot_5,so100,61,24199,"observation.images.laptop,observation.images.phone"
Eyas/grab_bouillon,koch,100,39190,"observation.images.laptop,observation.images.phone"
shashank2806/koch_test_8,koch,50,25693,"observation.images.laptop,observation.images.phone"
maximilienroberti/so100_lego_red_box,so100,150,40711,"observation.images.cam_left,observation.images.cam_middle,observation.images.cam_right"
zijian2022/so100_test_122904_10_1p2c,so100,10,4345,"observation.images.laptop,observation.images.phone"
rabhishek100/so100_test_real2,so100,11,17146,"observation.images.laptop,observation.images.phone"
pranavsaroha/so100_squishy,so100,50,19001,"observation.images.laptop,observation.images.phone"
rabhishek100/so100_train_dataset,so100,50,51118,"observation.images.laptop,observation.images.phone"
twerdster/koch_new_training_red,koch,31,14660,"observation.images.laptop,observation.images.iphone"
villekuosmanen/rice-cooker_step_1_truncated_x,arx5,98,27410,"observation.images.front,observation.images.wrist"
villekuosmanen/pick_coffee_capsule_merged,arx5,770,452236,"observation.images.front,observation.images.wrist"
pranavsaroha/so100_squishy100,so100,50,18989,"observation.images.laptop,observation.images.phone"
zijian2022/so100_test_1230f2_10_5p2c,so100,10,2672,"observation.images.laptop,observation.images.phone"
zijian2022/so100_test_1230s3_10_5p2c,so100,10,4565,"observation.images.laptop,observation.images.phone"
meteorinc/koch_tea,koch,10,3184,"observation.images.laptop,observation.images.phone"
villekuosmanen/lift_cup_remove_capsule_,arx5,10,14603,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
andabi/a_shoe_easy_10,koch_bimanual,10,2343,"observation.images.bird,observation.images.wrist_left,observation.images.wrist_right"
apockill/myarm-7-synthetic-cube-to-cup,,277,131449,"observation.images.wrist,observation.images.top"
YoelChornton/moss_get_rope_20ep_old,moss,20,8775,"observation.images.laptop,observation.images.phone"
YoelChornton/moss_get_rope_20ep_new,moss,20,8775,"observation.images.laptop,observation.images.phone"
pranavsaroha/so100_squishy2colors,so100,17,10428,"observation.images.laptop,observation.images.phone"
pranavsaroha/so100_squishy2colors_1,so100,31,18611,"observation.images.laptop,observation.images.phone"
Topasm/Franka_move,Franka,115,30617,"observation.images.head,observation.images.wrist"
apockill/myarm-8-synthetic-cube-to-cup-large,,874,421190,"observation.images.wrist,observation.images.top"
Chojins/chess_game_001_white,so100,55,31303,"observation.images.laptop,observation.images.phone"
jmrog/so100_sweet_pick,so100,50,32068,"observation.images.laptop,observation.images.phone"
Chojins/chess_game_002_white,so100,50,23962,"observation.images.laptop,observation.images.phone"
pranavsaroha/so100_squishy2colors_2_new,so100,31,22384,"observation.images.laptop,observation.images.phone"
Chojins/chess_game_003_white,so100,50,20967,"observation.images.laptop,observation.images.phone"
QiGuaiOu/My1208_test,so100,11,5834,"observation.images.laptop,observation.images.phone"
aractingi/pick_place_lego_cube,so100,15,6801,"observation.images.wrist,observation.images.top"
hannesill/koch_sort_2_blocks_50,unknown,50,23864,"observation.images.laptop,observation.images.phone"
Chojins/chess_game_004_white,so100,50,23035,"observation.images.laptop,observation.images.phone"
Chojins/chess_game_005_white,so100,50,23275,"observation.images.laptop,observation.images.phone"
Chojins/chess_game_006_white,so100,50,22490,"observation.images.laptop,observation.images.phone"
Chojins/chess_game_007_white,so100,50,22087,"observation.images.laptop,observation.images.phone"
qiyn/grab_bottle,stretch,42,5071,"observation.images.camera_1,observation.images.camera_2"
pollen-robotics/apple_storage_2,reachy2,54,12906,observation.images.head_left
Beegbrain/oc_stack_cubes,moss,40,17479,"observation.images.realsense,observation.images.realsense_top"
koenvanwijk/blue2,so100,20,3449,"observation.images.laptop,observation.images.phone"
jlitch/so100multicam3,so100,25,7006,"observation.images.wrist,observation.images.overview2"
koenvanwijk/blue52,so100,52,7183,"observation.images.laptop,observation.images.phone"
jlitch/so100multicam6,so100,20,5932,"observation.images.wrist,observation.images.overview2"
aractingi/pick_place_lego_cube_1,so100,15,5290,"observation.images.wrist,observation.images.top"
jlitch/so100multicam7,so100,30,8585,"observation.images.wrist,observation.images.overview2"
vladfatu/so100_ds,so100,60,71734,"observation.images.laptop,observation.images.phone"
HITHY/so100_test3,so100,10,4277,"observation.images.laptop,observation.images.phone"
Chojins/chess_game_000_white,so100,65,28716,"observation.images.laptop,observation.images.phone"
HITHY/so100-kiwi,so100,25,12352,"observation.images.laptop,observation.images.phone"
HITHY/so100_peach1,so100,25,11004,"observation.images.laptop,observation.images.phone"
HITHY/so100_strawberry,so100,25,11737,"observation.images.laptop,observation.images.phone"
HITHY/so100_redstrawberry,so100,25,9183,"observation.images.laptop,observation.images.phone"
villekuosmanen/pick_coffee_capsule_under_dome,arx5,10,14209,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
abougdira/cube_target,moss,43,19152,"observation.images.realsense,observation.images.realsense_top"
villekuosmanen/fold_clothes_dining,arx5,40,149651,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
pollen-robotics/apple_storage_2_modified,reachy2,52,12906,observation.images.head_left
ConnorJiang/qg_act_double_rm75_cup_scan_2,unknown,80,47709,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
satvikahuja/orange_mixer_1,so100,60,43461,"observation.images.laptop,observation.images.phone,observation.images.Lwebcam,observation.images.macwebcam"
satvikahuja/mixer_on_off,so100,50,21521,"observation.images.laptop,observation.images.phone,observation.images.Lwebcam,observation.images.macwebcam"
vladfatu/so100_above,so100,50,29900,"observation.images.laptop,observation.images.phone"
ConnorJiang/qg_act_double_rm75_cup_disturb_2,unknown,60,35857,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
villekuosmanen/move_objects_multitask,arx5,140,103021,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
satvikahuja/orange_pick_place_new1,so100,80,86229,"observation.images.laptop,observation.images.phone,observation.images.Lwebcam,observation.images.macwebcam"
satvikahuja/mixer_on_off_new,so100,50,24541,"observation.images.laptop,observation.images.phone,observation.images.Lwebcam,observation.images.macwebcam"
villekuosmanen/kitchen_interactions,arx5,50,46412,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
villekuosmanen/interactive_objects,arx5,48,53423,"observation.images.front,observation.images.left_wrist,observation.images.right_wrist"
jainamit/koch,koch,10,1114,observation.images.nexigo
danmac1/real_real332,so100,10,5980,"observation.images.laptop,observation.images.phone"
FeiYjf/Makalu_push,so100,30,23529,"observation.images.left,observation.images.right"
ConnorJiang/qg_double_rm75_pour_water,unknown,80,59733,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
yaotot/gello_data,,30,2917,"observation.image.cam1_rgb,observation.image.cam1_depth"
FeiYjf/Maklu_dataset,so100,58,48942,"observation.images.left,observation.images.right"
yaotot/gello_data_test,,15,1293,"observation.image.cam1_rgb,observation.image.cam1_depth"
FeiYjf/new_Dataset,so100,62,31637,"observation.images.left,observation.images.right"
satvikahuja/mixer_on_off_new_4,so100,60,20742,"observation.images.laptop,observation.images.phone,observation.images.Lwebcam,observation.images.macwebcam"
ConnorJiang/qg_act_rm75_to_stir,unknown,50,44780,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
koenvanwijk/orange50-1,so100,50,7933,"observation.images.laptop,observation.images.phone"
CSCSXX/pick_place_cube_1.17,so100,50,10716,"observation.images.top,observation.images.side"
koenvanwijk/orange50-variation-2,so100,50,7091,"observation.images.laptop,observation.images.phone"
villekuosmanen/pick_coffee_prop_20Hz,arx5,100,66363,"observation.images.front,observation.images.wrist"
CSCSXX/pick_place_cube_1.18,so100,50,16491,"observation.images.top,observation.images.side"
ConnorJiang/qg_act_rm75_to_seal,unknown,50,59722,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
rlllll666/so100_test22,so100,10,4451,"observation.images.laptop,observation.images.phone"
yuz1wan/so100_pick_pink,so100,10,3266,"observation.images.wrist,observation.images.side"
yuz1wan/so100_pick_wahaha,so100,10,3319,"observation.images.wrist,observation.images.side"
yuz1wan/so100_pp_pink,so100,10,4307,"observation.images.wrist,observation.images.side"
yuz1wan/so100_pour_cup,so100,10,3139,"observation.images.wrist,observation.images.side"
yuz1wan/so100_button,so100,10,2624,"observation.images.wrist,observation.images.side"
yuz1wan/so100_pickplace,so100,30,9068,"observation.images.wrist,observation.images.side"
RobotisSW/koch_test_3,koch,100,20376,"observation.images.laptop,observation.images.phone"
RobotisSW/koch_test_4,koch,43,12855,"observation.images.laptop,observation.images.phone"
RobotisSW/koch_test_5,koch,50,15560,"observation.images.laptop,observation.images.phone"
villekuosmanen/dAgger_test,arx5,40,21146,"observation.images.front,observation.images.wrist"
RobotisSW/koch_test_positional_bias,koch,52,16344,"observation.images.laptop,observation.images.phone"
iantc104/rpl_real_peg_in_hole,,50,39782,"observation.images.scene,observation.images.wrist"
swarajgosavi/act_kikobot_block_test,so100,20,9376,"observation.images.laptop,observation.images.phone"
cfy789/piper_real_test_0121_3,piper,53,38771,"observation.images.laptop,observation.images.phone"
kelo234/piper_real_test_0121_3,piper,47,40259,"observation.images.laptop,observation.images.phone"
RobotisSW/koch_test_multiple_objects,koch,50,23025,"observation.images.laptop,observation.images.phone"
vladfatu/so100_office,so100,50,29880,"observation.images.laptop,observation.images.phone"
kelo234/piper_real_test_0121_3_test,piper,47,40259,"observation.images.laptop,observation.images.phone"
swarajgosavi/act_kikobot_block_real,so100,50,21685,"observation.images.laptop,observation.images.phone"
RobotisSW/koch_test_vertical,koch,40,10761,"observation.images.laptop,observation.images.phone"
RobotisSW/koch_test_horizontal,koch,40,10556,"observation.images.laptop,observation.images.phone"
villekuosmanen/dAgger_coffee_prop,arx5,170,101413,"observation.images.front,observation.images.wrist"
dragon-95/so100_sorting,so100,61,95346,"observation.images.laptop,observation.images.phone"
Ityl/so100_test2,so100,30,11447,"observation.images.realsense_side,observation.images.realsense_top"
jainamit/koch_realcube3,koch,50,6640,observation.images.front_camera
villekuosmanen/pick_coffee_prop_20Hz_alt,arx5,100,60664,"observation.images.front,observation.images.wrist"
vaishanthr/toy_pick_place,so100,200,45210,"observation.images.webcam,observation.images.gipper_cam"
SeanLMH/so100_picknplace_v2,so100,201,68906,"observation.images.overhead,observation.images.front"
dragon-95/so100_sorting_1,so100,50,56929,"observation.images.laptop,observation.images.phone"
pepijn223/yellow_lego_in_box1,so100,25,7455,observation.images.phone
yaotot/gello_data_sim,,30,4164,"observation.image.cam1_rgb,observation.image.cam1_depth"
jainamit/koch_pickcube,koch,60,4742,observation.images.front_camera
YoelChornton/moss_get_rope_20ep_2,moss,20,8592,"observation.images.laptop,observation.images.phone"
SeanLMH/so100_picknplace,so100,100,36379,"observation.images.overhead,observation.images.front"
villekuosmanen/dAgger_plus_test,arx5,20,4583,"observation.images.front,observation.images.wrist"
villekuosmanen/dAgger_plus_coffee_prop,arx5,20,5190,"observation.images.front,observation.images.wrist"
yaotot/gello_hand_sim,,50,8109,"observation.image.camera1_img,observation.image.camera2_img,observation.image.camera3_img"
vaishanthr/toy_pickplace_50ep,so100,51,11125,"observation.images.webcam,observation.images.gipper_cam"
Beegbrain/pick_place_green_block,so100,40,17250,"observation.images.realsense_side,observation.images.realsense_top"
Beegbrain/pick_place_green_block_lr,so100,25,9485,"observation.images.realsense_side,observation.images.realsense_top"
Ityl/so100_recording1,so100,30,11447,"observation.images.realsense_side,observation.images.realsense_top"
yaotot/new_hand_cam,,50,7986,"observation.image.camera1_img,observation.image.camera2_img,observation.image.camera3_img"
villekuosmanen/dAgger_plus_v2_coffee_prop,arx5,60,10065,"observation.images.front,observation.images.wrist"
Ityl/so100_recording2,so100,45,13634,"observation.images.realsense_side,observation.images.realsense_top"
villekuosmanen/dAgger_coffee_prop_2.1.0,arx5,40,13411,"observation.images.front,observation.images.wrist"
vaishanthr/toy_pickplace,so100,200,42643,"observation.images.webcam,observation.images.gipper_cam"
